qid,site,comments,subject
66586,https://ask.openstack.org/en/question/66586/i-am-getting-an-authentication-exception-while-creating-an-user-in-openstack-kilo-version/,5, i am getting an authentication exception
67157,https://ask.openstack.org/en/question/67157/pci-passthrough-issue-seen-with-kilo/,5, pci passthrough issue seen with kilo
65947,https://ask.openstack.org/en/question/65947/why-will-instance-will-not-start/,5, why will instance will not start
66167,https://ask.openstack.org/en/question/66167/no-valid-host-was-found-in-multinode-setup/,5, no valid host was found in
65117,https://ask.openstack.org/en/question/65117/cirros-without-default-ipv4/,5, cirros without default ipv4
67177,https://ask.openstack.org/en/question/67177/neutron-lbaas-services-installation-with-kilo/,5, neutron lbaas services installation with kilo
65949,https://ask.openstack.org/en/question/65949/how-to-install-new-nova-patch/,5, how to install new nova patch
65528,https://ask.openstack.org/en/question/65528/cinder-type-create-error-during-devstack-installation/,5, cinder type create error during devstack
65989,https://ask.openstack.org/en/question/65989/cloud-init-fails-only-in-a-particular-tenant/,5, cloud init fails only in a
67218,https://ask.openstack.org/en/question/67218/cannot-ping-2030113101/,5, cannot ping 2030113101
