qid,site,visits,subject
64610,https://ask.openstack.org/en/question/64610/no-log-or-console-for-instance-in-libvirt-and-xen/,57728, no log or console for instance
67572,https://ask.openstack.org/en/question/67572/rdo-kilo-novalidhost-no-valid-host-was-found-there-are-not-enough-hosts-available/,2593, rdo kilo novalidhost no valid host
67284,https://ask.openstack.org/en/question/67284/new-kilo-install-unable-to-launch-instance-no-useful-errors-found/,1268, new kilo install unable to launch
66458,https://ask.openstack.org/en/question/66458/kilo-heat-topo-view-in-horizon-shows-question-marks/,945, kilo heat topo view in horizon
67002,https://ask.openstack.org/en/question/67002/cant-get-a-vm-to-provision-after-successful-devstack-all-in-one-install/,872, cant get a vm to provision
64671,https://ask.openstack.org/en/question/64671/device-uuid-not-defined-in-plugin-unexpected-vif\_typebinding\_failed-cannot-launch-instances/,741, device uuid not defined in plugin
64853,https://ask.openstack.org/en/question/64853/error-unable-to-connect-to-neutron/,622, error unable to connect to neutron
67326,https://ask.openstack.org/en/question/67326/new-kilo-instance-launch-dialogue-stays-white-after-activation/,584, new kilo instance launch dialogue stays
66218,https://ask.openstack.org/en/question/66218/instance-not-able-to-get-ip-address-when-assign-a-network-that-attached-to-router/,560, instance not able to get ip
66833,https://ask.openstack.org/en/question/66833/kilo-on-centos7-keystone-throws-http-500-except-when-using-os\_token/,521, kilo on centos7 keystone throws http
